,emotion,emoji,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
0,anger,😃,0.07762902584989716,-0.033925018827461816,-0.10476364354861416,-0.10043024750330216,-0.06892339520360811,0.02563646044114687,0.02843426347371694,0.05272299735401567,-0.12185359211233204,0.029860203884372372,0.014226673756504453,0.04384347573966768,0.03466602505542355,-0.026071006553887936,0.03718714297046692,0.028005198538441075,-0.12011023435842612,-0.021608539273884817,-0.03417545569834674,-0.008001048947361549,0.030911883327074837,-0.01715023301924287,0.8342296102000195,0.8496095290211882,-0.004524537564523298,0.045710919355719803,0.8132930079017047,0.8104706231719622,0.8024186350907409,0.8225803380461467,0.8206542530943622,0.8289727073832799,0.8029807880479103,0.8379336915816789,0.8135478439358161,0.7936963940029825,0.8108676533296464,0.8114105342544404,0.8146866965390156,0.7932019901476538,0.8035214938712525,0.7228562664938244,0.7052266320607081,0.787711384199491,0.7682191511541027,0.7600093080196121,0.7228233752433936,0.709640762250764,0.6826554631290221,0.6977785511753445,0.6852916336241182,0.665615633399817,0.5661707243936283,0.6304262532463224,0.6151278543754526,0.6028699216154594,0.6007038593545924,0.5532924574228953,0.516230128818082,0.5739118173394353,0.5694571632403955,0.5561732380701666,0.5572020231984881,0.5451230648755927,0.5562244820316539,0.5668775661609979,0.5403262906351389,0.5299473706514239,0.5624633721622742,0.5509819762789793,0.5447774374836504,0.5356574480012334,0.5721950018065582,0.5553358080425489,0.5399783163919355,0.5378928804736369,0.5298557110135144,0.4887712062900025,0.4773337657142687,0.5121460311043927,0.5060564356576461,0.4826356144737636,0.48212619024963027,0.4899345541788762,0.49568203054932336,0.5140388366169091,0.5042306559910763,0.48374266619763495,0.4969050868422444,0.4695049140206254,0.5184968670906556,0.5017177987531733,0.5087366993000199,0.4963394509164839,0.48286830942688763,0.4744853465574813,0.4882754661841916,0.48776675226365623,0.4883138453409076,0.4746217742036808,0.4594000964647664,0.4482028552549958,0.43811025287577127,0.4548724630574932,0.45443001498608415,0.4561726438069401,0.44850168315735645,0.4425253902473604,0.4404243931619951,0.46634688548182474,0.45084284098288435,0.4332782031481734,0.43576756975044045,0.4430865864566435,0.45407631278231136,0.4189778917909939,0.4352945535781165,0.44801656591266314,0.4365413125510657,0.44936089683686886,0.4583817638637953,0.45130384436781745,0.43439786090868204,0.43943218973540804,0.4339954704481464,0.42822535597345723,0.4442589232832411,0.4658081293624861,0.47791724868414903,0.46185671482171003,0.4568706140184723,0.4592071236348427,0.46873850190707256,0.46799891591223086,0.4608472501660368,0.46374660440388904,0.45757175450590315,0.47049792358156783,0.468268952095324,0.45880701196112905,0.4666351621030972,0.4542199803732068,0.4523475360120528,0.4519261985013759
1,anger,😄,-0.2742837933328045,-0.3878774948214864,-0.30911035359438177,-0.2573793648544762,-0.3644587159849328,-0.0075748350927653885,-0.19274358580674095,-0.4051881302050722,-0.3165280885495647,-0.007817378469854051,-0.29556447268003483,-0.26053141911643635,-0.30920348750517956,-0.10590806874833145,-0.26197831648075603,-0.18697534373789795,-0.3296143315197408,-0.4208192191576374,-0.1661818074887684,-0.19973001005609123,-0.11254527706928892,-0.0707881397409531,-0.21442912182307344,-0.2565240022421382,0.3666000293214479,-0.09951940238849191,0.5151416873406572,0.3890599837485499,0.7171314594096595,0.5121667649467032,0.6159219419527322,0.5061786313548164,0.5252769446740855,0.6651612000615333,0.44246697888509046,0.6610265271897263,0.6804673811099891,0.65020149531944,0.645157827998643,0.6616149290790475,0.6194214246790095,0.6372228103014399,0.6528768158562036,0.6871140420676146,0.7285291643931272,0.6833551784239877,0.6815015390468603,0.7070850083895801,0.649723939752338,0.6709449019434272,0.6191635926020557,0.627493377561283,0.5130541746961607,0.6052125054952505,0.621636859530103,0.6063907406607794,0.6055387333325202,0.5991863792329003,0.5637443851245412,0.5899293782368829,0.5597423857387664,0.5492514817613975,0.5377085267503131,0.5348598714631732,0.5558550633455982,0.5446447636049206,0.5301803557529552,0.561205205757096,0.5414805481386434,0.5138860742945102,0.5150804427903514,0.5180123391946535,0.5460203965830361,0.5470219057336567,0.5618058713101886,0.5540077697290261,0.5428138656043305,0.552438045753196,0.5363540051665237,0.5351228187626217,0.5329706436271161,0.5519281689777182,0.5287132515769241,0.5202314064828245,0.5159787864408718,0.5391112032445967,0.5171458325457,0.5330876444234828,0.5127614587891817,0.5267284749502819,0.5392674449514978,0.5211502246764346,0.5203815258879706,0.5253991979860806,0.5311785834861282,0.4843812829086371,0.5157141479448643,0.5143477716471948,0.505729636312268,0.5208754404560135,0.5243860651855878,0.5311188228066585,0.5233627695581603,0.5095865009194944,0.5320588449227045,0.5227723503492558,0.5213720839111159,0.525163836396945,0.5090305010912708,0.5273161135176425,0.5168131235932704,0.5055235330456158,0.5283329147580199,0.531254102137027,0.5203038745657416,0.5099220612675142,0.5159985764590287,0.5513048415445244,0.5148062490167962,0.5295737547489077,0.5446664255998431,0.5193428102402835,0.5383538426124368,0.5326188066396065,0.5036545657633829,0.5077174990380862,0.524317724495175,0.5138905680553566,0.5227050055280931,0.5394326225608672,0.5393577882778836,0.5403896211709257,0.5399249193417769,0.5276914422355078,0.5131627021399326,0.5054603595817779,0.5267663066021934,0.5416275715912948,0.5478563431575575,0.5290871291795125,0.5293756081298231,0.5363080800966705,0.5282996783658528,0.5314430779690293
2,anger,😁,0.3637507276682105,0.21279792800835312,0.06567040523670048,0.41242483388049667,-0.11246971381841543,0.09919646828553454,0.10273422763582513,0.31623095525959793,0.06463513930755656,0.12179396989929171,0.10587538543275754,0.22290261869639655,0.23496056839712368,0.2575303385953806,0.17324791734828968,0.2549174826878475,0.3225996993736049,0.04342100715261382,0.2933901302010648,0.07667096006050232,0.31718804502293846,0.2859447419047075,0.3449385399678808,0.2623219210485464,0.32000716243484495,0.27497621269157296,0.764534864973571,0.7997050392651421,0.7745220137749599,0.20090035010168913,0.7456577752575482,0.8019584313779141,0.751175074618715,0.7629986789009129,0.7566689460635948,0.8087040453996378,0.8134224169200152,0.8024504757062667,0.7816998900518272,0.812563822790983,0.8325862800591003,0.8032129491898051,0.7930750860969005,0.8125294958865165,0.7876713110007891,0.7929714342388693,0.7856242938037704,0.6989043694499422,0.6961371264597291,0.7087632350956761,0.6654244424470691,0.7067916524311917,0.6474378059654055,0.6071218788065247,0.5904367726583141,0.5982507197118153,0.5913766629510935,0.5693289360114816,0.5639724874387251,0.5719299858053554,0.5793597349738043,0.5618541148793874,0.5434096055148904,0.5436135391460144,0.5115005070594721,0.5247561011576445,0.5192312625829031,0.5468951079778348,0.552267766625141,0.5334649331728643,0.5425707522111818,0.5274110733200921,0.536052660005504,0.516184075197287,0.5327778574921617,0.49402808113883767,0.5206548009586955,0.516825989195238,0.49173502356049303,0.5146593960655953,0.5354304757019622,0.5207963157894299,0.509849349494903,0.5014079038720736,0.5063197355671459,0.5220829644933487,0.5051268868611613,0.507880461114456,0.5135908697615691,0.5105084939331275,0.5096047093759909,0.5228501927187355,0.5071819751492566,0.5199360348883616,0.5200178567592154,0.5091121090123333,0.5238000043144078,0.508405353340977,0.5012051438266262,0.5094517057798181,0.509850021555225,0.5116877900687894,0.5120586066930485,0.510717089168173,0.5237397995562195,0.50394483351444,0.5098569873096264,0.5040678765523232,0.5124061844228993,0.5180152662768932,0.5008108534854318,0.5002262741906344,0.49803083128189923,0.5031306369237357,0.49825364049492155,0.4950379807142844,0.4992366503716022,0.5075505124583615,0.4952253375069941,0.5049046601808451,0.5083710354109023,0.5058441368932197,0.5059944328816357,0.5007810502079851,0.4889293244750913,0.5051100209180118,0.4950127490532803,0.493159679060921,0.4840212110882192,0.5041460157191832,0.49508270309872704,0.5022135397522985,0.5025668498766066,0.5001474756592504,0.49488109362654875,0.4820491730670413,0.49135293915946926,0.5018696437203338,0.49656536895288483,0.49216830689679764,0.4983586319122297,0.4882881070589008,0.4704567087743266,0.4892954171890905
3,anger,😆,0.007403155594669613,0.0741162610308556,0.3130681490225176,-0.014535471881366382,-0.09646723511939895,0.20746358435281131,0.07780545631356375,0.008696343931901801,0.03490383915021169,0.31253942781075905,0.31911645810659994,0.43955398591931266,0.07818095769509781,0.42639156148205853,0.1334442723805701,0.2155613567284767,0.30874762984571663,0.2006265261433261,0.3054841263205152,0.012036556002422956,-0.051475979421290494,0.15279628981666374,0.266154345394098,0.044161286268446,-0.2677604749526176,0.09127397129674453,-0.14547991452774586,0.4260989908302347,0.2937089275639974,0.159170485996013,0.04874954718434353,0.2417959784760576,0.271004476146792,-0.035211780919223876,0.3562866125822376,-0.5640772180532838,0.7739871359336382,0.7956112807743654,0.8180812380111987,0.8175200579597592,0.8255340986736626,0.7671185901018426,0.7976003041653013,0.8284268437719664,0.8176215545307373,0.8531584188265742,0.8028077004283379,0.8216859056425261,0.8319532589015293,0.8313606088438432,0.8306425888725957,0.7835036167357505,0.7571536191563081,0.7248149875000295,0.7368541622996254,0.7442041697720182,0.7700303143842356,0.7273015409105236,0.7055258607375412,0.6618021167220842,0.6477230449696317,0.709185420090738,0.6436004110729712,0.6699284376497009,0.6623021280292624,0.6448846516880827,0.5976579077987578,0.6163043078463627,0.6134624056352517,0.6180450219849017,0.6342810716648991,0.6152441749761458,0.6267432652542229,0.592721316298958,0.6203116504351625,0.6162067770799465,0.6126471832345081,0.5959683245667746,0.5880778571783742,0.570618465576583,0.5984663142496103,0.5831064503453451,0.5382764993643657,0.5578445125374301,0.5569089222730572,0.5841954470803747,0.579283605418778,0.5382729491174484,0.540652803259028,0.5371619083243094,0.473038082258283,0.5739844817168284,0.5749721597218066,0.5788211704409169,0.5681365412669782,0.5712949273933646,0.5425342640860804,0.5440826423685866,0.5513889638811394,0.5578979904673004,0.5645748932424551,0.5632428673782208,0.5591649561743568,0.5883784665434164,0.5745394899480659,0.5633239075079609,0.5718818772897796,0.5738602136167398,0.5834518918466678,0.5905312015306674,0.5617684880106403,0.5826959744112336,0.558529153406883,0.5828424967855199,0.565848468540966,0.5711581679571236,0.5689100290240622,0.5691787109806579,0.5738289016011842,0.5789805577252715,0.5794712297141367,0.5661323222313893,0.56331314785819,0.5786880370009285,0.5815693652793165,0.575118241602193,0.5746111446201602,0.5686783798636946,0.5808473590617338,0.5693074872055971,0.57919628668482,0.5860327123292809,0.571940374738362,0.580850168239258,0.576671122920598,0.5715056941493035,0.5704290923905716,0.5891004829798088,0.5783266725049878,0.5812478076760011,0.5870257454360319,0.5653450142119145,0.5806906387611709,0.5849427648766374
4,anger,😅,0.03243215453182825,-0.091580367328221,0.019431309098959643,-0.050964999074570715,-0.05127634303296449,-0.05051346117885034,-0.03738565623432565,-0.006096618833205826,0.037157116334981914,0.058786048309225486,0.048166711986736915,-0.003472438433065728,0.35462914289213887,0.28242175326848257,0.2663997735043147,-0.1475933936094136,0.19531674455972944,0.08738597050680087,-0.07151392186745728,0.16740881163624088,0.14199241570858653,0.24317093249852803,-0.1681758187917231,0.0579765280647238,0.2748139928775864,0.2417703757414222,0.0355034818276135,0.21549911644911587,0.10795075649996998,0.04315244053849037,0.1700368301315899,0.17413152278520938,0.05746382438572835,0.20302287302431624,0.09179665844310866,0.25731151001856,0.221673901819444,-0.08414877972560822,0.7685513988182726,0.14845211800524882,0.7414772462264756,0.6732644352611725,0.7224122121342705,0.6891718370976222,0.6995553138261301,0.7357831716973674,0.786114851465079,0.7259908576764393,0.7891746199176837,0.7481618332786636,0.8064558168739067,0.7913271372335003,0.5750265902824956,0.7714653791981193,0.8094612283232574,0.7666126117709455,0.7457145236459773,0.7631848123426813,0.7015318803791061,0.7087000467193493,0.7257762188040364,0.6965916089645715,0.6852331473798047,0.6412269015222062,0.6676162905728279,0.6170759045512537,0.6433552061027153,0.6216635303314064,0.6142819830591777,0.6497091787347604,0.6015044153337448,0.594659246751251,0.5870472633552611,0.6333075870418102,0.6173885180318797,0.592726819387147,0.5982152108556595,0.6079505700792496,0.580669019072556,0.5705351761866767,0.5788438641394589,0.5657057701551415,0.5686709833943526,0.5600707119304388,0.509691812097867,0.551483585177158,0.5642432639582524,0.5404320529472547,0.5604662586812134,0.5577557449002455,0.5544034274308024,0.5453341710709049,0.54807587001206,0.5512649632366585,0.5504148220351662,0.544635407693404,0.5417819874962883,0.5527531954263901,0.5470068329766123,0.5451424256260289,0.5519702991446765,0.5576218418385457,0.5532815973981016,0.5536496507293759,0.5544897606517514,0.5384637864648153,0.5469605799850028,0.5509016178115966,0.5624159155159218,0.5742070192156276,0.5527462114459587,0.5519086458453176,0.5652203740830315,0.5660991451292433,0.5605496239743131,0.5594715759316226,0.5442085081563679,0.5643683062253649,0.5509853417202097,0.5563390447798437,0.569126514136828,0.565558339588841,0.5623648238298672,0.5687483999466986,0.5585646220323424,0.5502045476809238,0.558893373876555,0.5568789584469994,0.554701007140467,0.5655715615070923,0.5656269359529642,0.571970891901439,0.5631632620874827,0.5753722740532976,0.5727478215760939,0.559296991502921,0.581026598797372,0.5738023189890487,0.5698537041963073,0.5681100218251148,0.5574700669120688,0.5808542178559587,0.5641113365663544,0.5766495519656625
5,anger,😂,-0.4390033978187115,-0.5457641134713049,-0.6359672143947476,-0.36101356456427647,-0.6942092475399563,-0.5165127040979661,-0.5817445504924261,-0.6483599803905498,-0.4854796711117024,-0.43838517867743676,-0.35948625632912684,-0.4168058450200887,-0.372087836916672,-0.3997041244639193,-0.42607514448567374,-0.6387049728834584,-0.44663120967069897,-0.37783801601857153,-0.43242130288913777,-0.34808460811926684,-0.42998235384610795,-0.019002476633704867,-0.21885013133413989,-0.21235044055884642,-0.16112592576751966,0.05291398012525009,-0.16844735952042264,0.03224375648585278,0.17656650285266656,-0.1648170045943804,0.11845961072318009,0.2380195504367604,0.24140511909157011,-0.06541393497002992,0.4713077225692858,0.24037216875518894,0.31289814279005945,0.30039820223618896,0.12592233169648911,0.3227409084943673,0.30465323310336073,0.37005794767977856,0.45529316807730924,0.4550805057886798,0.4968836169066359,0.4655902640756147,0.5325239235471996,0.5427617961961,0.512604721331759,0.5153810106487872,0.5198899319554816,0.5240217441338519,0.52581549724689,0.5207953867427219,0.49567811192054245,0.5351980858540543,0.5390881905421113,0.554991826535031,0.5482581056917338,0.5379094393370975,0.528253899708094,0.5194152377506307,0.5185927958557295,0.5162967521492482,0.4939309398005804,0.5065429370137368,0.5112973081685782,0.5009725889175757,0.5213562774998398,0.5137688151777233,0.5157962607627115,0.49053745633726803,0.514907735432571,0.5086398480004485,0.5073246123055618,0.5013903401785974,0.5340128200757591,0.5282209989715718,0.5209234207524824,0.529914542523259,0.5408854243302553,0.5382711645441668,0.5361481065681537,0.5307485107741635,0.5297283024147375,0.5408972305046056,0.5543034269296371,0.5456850928164206,0.5371217691669674,0.5434292471535203,0.5505275743522232,0.5503413512697687,0.5155040313779121,0.5248349161987768,0.5294547965424585,0.5368715147509121,0.551169896962953,0.5534546996201302,0.5418951580429787,0.5489270573730151,0.5560249819338605,0.5583784632211445,0.563242719683505,0.5709386300059174,0.5662113826651889,0.5720570091300716,0.5599852882179099,0.5715876912712141,0.585600188127556,0.5883423698719987,0.5643982150841971,0.5809924680408233,0.5721160842517165,0.575200318378352,0.5819778742320125,0.5753238522684759,0.5788534238834722,0.5808903372802133,0.5807235453606518,0.5820085147517786,0.5973612254088622,0.5782315320599531,0.5822886082853141,0.5812986039935102,0.5856702038351754,0.5723938228992129,0.5767165759279022,0.568928814911289,0.5803235302194525,0.5772931873153593,0.5814839688115673,0.5895143646774822,0.5741821957467867,0.5836269609624174,0.5780317609332996,0.5680759989260671,0.5804672513747423,0.5874599138140713,0.5827864135140636,0.5815458598589993,0.5819241606189819,0.5818706370685354,0.5766323076362724,0.5826454016721977
6,anger,😉,0.03672527466246564,-0.10168141365603162,0.0009514520669232721,0.018685025671586603,0.5482427666262475,-0.015640050698995357,-0.012315672641653742,-0.08191077859442907,-0.05708207921325498,-0.003144321769318588,0.0930713511449073,0.07111112705066842,-0.04651962201241507,0.0945521045208546,0.030872542383163025,-0.006352633836992456,-0.082108900526361,-0.5343690474388775,0.013771310964785314,-0.07361413846806147,-0.11890718611547421,-0.01563228641049056,-0.012020635124804608,-0.027118724477546593,-0.32714752785826146,-0.041492258256335325,-0.08037006414030363,0.8086927607826236,0.853138375143364,0.8583418742290383,0.8505440365729605,0.8403583225855578,0.8262669373409846,0.8479073201059993,0.7595738031176563,0.8240550554339908,0.7716845371242818,0.8295944859544847,0.8156240485616623,0.7455487226914974,0.7137427471625114,0.7164684893860166,0.7244200362086599,0.7502025644809555,0.7034911680378014,0.7020628676610392,0.7001443440961067,0.6899780317716129,0.6373370314182909,0.7213453645978949,0.6513313159020183,0.6585300226339541,0.593472576207956,0.6481261279937698,0.5580230767321319,0.5685511647719337,0.5705179871979987,0.5493296636049648,0.5329765536685377,0.5480343091160195,0.5066537881069901,0.5347278734789436,0.5274130482097681,0.5181667909921167,0.5222648531173184,0.5106967128737936,0.5164224919449275,0.5211469192266861,0.5196352512560428,0.5356464779890423,0.5055199604064206,0.47245795226375126,0.49677686538630134,0.502470607019208,0.5082900107721358,0.5169228739644522,0.5142820554441776,0.47846283521831345,0.48682046119690076,0.48099775594209004,0.4943325632473441,0.489000889360698,0.4923734296028525,0.4936774391104737,0.48668928988288795,0.47974646655651687,0.49865748153546774,0.5009932184749813,0.48165057689928437,0.465728661256906,0.4905014286821141,0.49527671977346444,0.47831867979745435,0.4620949835232255,0.46922708928976564,0.4583763466224249,0.4478234022529997,0.44817124793279883,0.4449557342571149,0.4532449765226378,0.449342564629743,0.4483274329974563,0.45857671319919147,0.4548089643111977,0.4518693206577237,0.45273091347887734,0.443282613144477,0.4575759778015341,0.4629759338814122,0.4671299688268526,0.4510606335670071,0.46533972834015397,0.45132187140529084,0.4550590201176453,0.45307493717697395,0.4478584973743801,0.4380095176074571,0.44973438310252434,0.435232475882447,0.45449905254616296,0.44244337329640265,0.4499858843899697,0.4458367628379163,0.45305008296376137,0.44908243045441737,0.45473284636901473,0.4411764818594104,0.43226007023633894,0.4246334198351868,0.41993186749214995,0.4389982905882407,0.4337145816137277,0.43779617012249744,0.43998658579440814,0.43663113572669476,0.4187632256206288,0.43834598202282726,0.4419372379281098,0.43828362371222596,0.44851745562146655,0.445375869427881,0.4446869886460815,0.43897145503375984,0.43604617091999154
7,anger,😊,0.05650210262627848,-0.025679070333651237,0.015979662480268577,0.0348789660119209,-0.016077852387714503,-0.030957894182206982,0.040387752606644484,-0.0008398558119851632,-0.03437608864276198,-0.05607823163511661,0.08033190151027682,-0.0016355095635851027,0.04540659906394165,-0.022463953432658754,-0.08818891994127426,0.00819371924295336,-0.01724557551265216,0.6118003534626533,0.6881406648506851,0.5702183346573817,0.7774452796431416,0.6207653149623676,0.11163728928475684,0.4812362508214833,0.34696169693806456,0.7979013088744676,0.48829051231969267,0.8305272780546732,0.7940601170408957,0.7641592488326457,0.8003916943065883,0.817844030832174,0.8420350225363312,0.7965443233568684,0.7908300173692175,0.7857587369500968,0.7636904351096602,0.773984142788612,0.7984293832410404,0.6850033450100673,0.7294465024041225,0.7553664939205036,0.6508112299977434,0.7143332737941805,0.6771551871759514,0.6913848873001187,0.6664407437123703,0.6198531527938718,0.5955118620469871,0.6151843680751495,0.5769375557438622,0.5707503209115632,0.5498784800096672,0.5555218148841351,0.5351452438351492,0.5470982950330951,0.547706592699878,0.5389363030327429,0.5256009979514048,0.5010136864290136,0.5009277484134173,0.520375857280914,0.5009472638488772,0.484768756318535,0.49337917554443617,0.5179700541508072,0.48810552930112683,0.503759796987816,0.5131913893558189,0.49013412974715476,0.48485144104423483,0.472523978941793,0.4727627071611478,0.4769857075367016,0.5004552319459267,0.4792000098576946,0.497887580982764,0.48953010526880014,0.4706241227416389,0.48421378533569037,0.5029779588989537,0.49710533813708874,0.4830980719913275,0.47377697867060464,0.4912042251922574,0.4745951157219469,0.49038544085709423,0.4877430406259849,0.4777182229785115,0.4729203119045364,0.4771411206556109,0.47103851393146445,0.46816122470967064,0.484437874019005,0.4587042416098854,0.4615733311713769,0.4829020450220571,0.4748549213534665,0.4579249047951698,0.4630911008435739,0.4680389560254624,0.4481405263224291,0.4591677139706479,0.4678498009405657,0.4617911062515614,0.4580479506968292,0.46001224825847176,0.45041569292883477,0.45860791183142896,0.45318659650077103,0.43833918627857305,0.45043974278964,0.4568117101493127,0.44569172042362304,0.4443119542106299,0.43755905433815867,0.427922054488453,0.4368132571737383,0.4368460438767732,0.4486217143275836,0.44888609421577974,0.4417364251311157,0.4487672175826802,0.42821560498352024,0.4363440539049013,0.44572516585187016,0.4370015239077393,0.4211390930917254,0.4269331333992299,0.4281385084373607,0.42814336845461964,0.4418622929707667,0.43756676461978733,0.4325164974127984,0.44709921375981954,0.43708679655466703,0.4283762652648959,0.4384764312534566,0.4270541168181981,0.4393500767924396,0.43909333235797304,0.44309290396390844,0.43540930423532437,0.4154661147771075
8,anger,😇,-0.007883331893934326,0.5589875621323774,0.6993341127284364,0.7567900783876265,0.45244763613743694,0.7416210957825496,0.22256580487358457,0.40474912956394726,0.10181650520533901,0.3600189944270744,0.2762854165024435,0.5211206434722317,0.6328807956648648,0.5608366134280847,0.2253454894552894,0.3906708129187806,-0.18016994565005587,-0.14792093873776496,0.4730656769868339,0.4251902517353914,0.4642876755399762,0.3729953595716173,0.10611176102787102,0.09943221119269484,-0.0598684459154815,0.3833540731563206,0.3783748000815685,-0.2637424756921802,-0.20486470509080867,-0.19700874321287076,-0.009123473293781515,0.12338008264747177,-0.1549442991788215,-0.12566358981841821,0.24143780521248717,-0.14044701279829108,-0.14112746087574374,0.10382584711962317,0.12773516561934806,0.04959794156689388,-0.18899744683954797,-0.31168787807923093,0.8094839743276065,0.7532261775935913,-0.4868320274156466,-0.008706172191035982,0.2033949317630547,0.7684571943193955,0.7707423838288757,0.7643849793342057,0.7441243699785848,0.744711859727457,0.8002949698972258,0.8070795177735691,0.8244737118191203,0.7982041789250178,0.8112548479796412,0.8041071723331694,0.7996118676914866,0.7844664179681121,0.7717326147711638,0.7761220020772583,0.7535645791026349,0.7737408332807723,0.7634166279237496,0.8052653234275496,0.7304589012210049,0.7018379275688895,0.7343670237230605,0.7045506865787599,0.6956057207576164,0.6937830398103675,0.6985476505595688,0.7075737534936977,0.6754587466293099,0.6415973881597739,0.6821476922010625,0.6610073382040711,0.6085159503755895,0.6305420525325821,0.6621501653883812,0.6261871354898078,0.564532010823222,0.5101191983505104,0.5760154773153454,0.576955963786958,0.5737741698258922,0.5389706532918868,0.5548214221993609,0.466287916299565,0.5282533494807293,0.5118256513885494,0.5716052998599938,0.5599512932648167,0.49338776062041245,0.5351161614793984,0.540408658058022,0.5153082088217045,0.5146905161767787,0.48961699946783116,0.5350760832594332,0.49498431155625183,0.5149710922541253,0.5034953047227712,0.5040815857596477,0.4867398045218603,0.4618259000469811,0.46353159729719884,0.4437853315638937,0.40741571240750407,0.45044308719478254,0.4548600201502188,0.4194937611909953,0.43273743735993914,0.43305972690501815,0.42931993563393417,0.4239564774867421,0.4189746500800196,0.42373282980914706,0.44560127787182363,0.4135062234505913,0.41183840329152144,0.4318667485127885,0.423390668696429,0.4334734773302332,0.43443979428385643,0.28757589876532413,0.4054447387138102,0.44280589469063725,0.4368773094078577,0.4370320650888485,0.425975478910001,0.42335388024749676,0.4331636804414815,0.4415096118223214,0.4045792798727231,0.42383161947755077,0.4154413765274225,0.4046553353350771,0.4202390352199389,0.4172639285514055,0.42659941359138986,0.4177795079142625,0.4135624771319816
9,anger,😍,0.05858312217050691,0.03134055981117127,0.02620647441247691,0.023677864630153846,0.028967278782256932,0.03216797691197286,0.011330908396244297,-0.0058253323578265565,0.013790946656040401,0.01799918923725345,-0.010667269955771134,0.0006814860083562815,-0.06116665498891712,0.040940644253577706,0.0104406057595042,0.04363879626745676,0.04818029482526179,0.029408595969155318,0.008966152337976997,-0.012193039302254747,0.0029291675549244214,0.05052699048782256,0.034508656773072986,0.029906866282725392,0.03979260315930479,0.037548353943396326,0.0315895269208007,0.04664634767290551,-0.011095879921530053,0.0762459466965663,0.028997200585769163,0.17932608974866848,0.025670191790365202,0.2018271015316268,0.13853009526864624,0.21107255463991997,0.22017569845185697,0.2029578409237691,0.22112036260365994,0.19372780014553365,0.2412876732878114,0.23154495590514565,0.24908757360096725,0.25523860533669024,0.24887418147773782,0.2651911736088683,0.25207895772652866,0.3456663720698243,0.33241035353721754,0.36592572756667563,0.3271253132890523,0.3621306477131304,0.33568815348636405,0.34670555195903946,0.37649086419637107,0.3712319553867471,0.3629768647607136,0.37550547300467957,0.37777329530588066,0.398019647898068,0.3795392577565294,0.3948276304404174,0.38390407718824293,0.41126291941134213,0.40761259056874316,0.38820840376227383,0.3959206940440526,0.4017411648649905,0.4025247893323174,0.3944548538186451,0.39156332663873783,0.405313881279115,0.4032278464160744,0.4122693578003785,0.4147007442466959,0.4233263666845592,0.4226221717688117,0.42180434366132086,0.38801786492817353,0.40187350015540485,0.410843485649406,0.3987409787028587,0.40881247186076203,0.41426390622772097,0.41910987230777713,0.4213772273269381,0.42382350832668175,0.4296216732663581,0.4180815409207945,0.4095728160239501,0.4269825952988067,0.4302706223605067,0.42760215958750747,0.41968837625700905,0.4191223173615088,0.41011763575034027,0.41752494646575866,0.4107669149653347,0.4114646237235799,0.4242300124686996,0.4193687932433548,0.42210901529961664,0.42593191895612387,0.43174889733833877,0.42628932220554516,0.4216458505127621,0.4117970762576781,0.41785746881241326,0.4197644501058257,0.4293322325698315,0.41407382697066647,0.41072546982698604,0.4257419087764383,0.41459573819273826,0.424101141711202,0.4158077364379623,0.40586286844833025,0.4114773364166237,0.42108171048328025,0.42658683618761856,0.4268966081905326,0.4208046323792739,0.4182268070012821,0.42022505343707545,0.4197382757869231,0.41745866330129433,0.4105851440993653,0.4122074407466153,0.412238110601226,0.41741712822446664,0.41598889614110873,0.4109084507422246,0.4080756578909721,0.41267113017108836,0.4169519365704361,0.4090389282133235,0.4114410512616081,0.41925996032701585,0.4165930003664231,0.41042742527337345,0.40462893120774757,0.4033046776501276,0.3984370361768745,0.40435004906838745
