,2010-01-0,2010-01-1,2010-01-2,2010-02-0,2010-02-1,2010-02-2,2010-03-0,2010-03-1,2010-03-2,2010-04-0,2010-04-1,2010-04-2,2010-05-0,2010-05-1,2010-05-2,2010-06-0,2010-06-1,2010-06-2,2010-07-0,2010-07-1,2010-07-2,2010-08-0,2010-08-1,2010-08-2,2010-09-0,2010-09-1,2010-09-2,2010-10-0,2010-10-1,2010-10-2,2010-11-0,2010-11-1,2010-11-2,2010-12-0,2010-12-1,2010-12-2,2011-01-0,2011-01-1,2011-01-2,2011-02-0,2011-02-1,2011-02-2,2011-03-0,2011-03-1,2011-03-2,2011-04-0,2011-04-1,2011-04-2,2011-05-0,2011-05-1,2011-05-2,2011-06-0,2011-06-1,2011-06-2,2011-07-0,2011-07-1,2011-07-2,2011-08-0,2011-08-1,2011-08-2,2011-09-0,2011-09-1,2011-09-2,2011-10-0,2011-10-1,2011-10-2,2011-11-0,2011-11-1,2011-11-2,2011-12-0,2011-12-1,2011-12-2,2012-01-0,2012-01-1,2012-01-2,2012-02-0,2012-02-1,2012-02-2,2012-03-0,2012-03-1,2012-03-2,2012-04-0,2012-04-1,2012-04-2,2012-05-0,2012-05-1,2012-05-2,2012-06-0,2012-06-1,2012-06-2,2012-07-0,2012-07-1,2012-07-2,2012-08-0,2012-08-1,2012-08-2,2012-09-0,2012-09-1,2012-09-2,2012-10-0,2012-10-1,2012-10-2,2012-11-0,2012-11-1,2012-11-2,2012-12-0,2012-12-1,2012-12-2,2013-01-0,2013-01-1,2013-01-2,2013-02-0,2013-02-1,2013-02-2,2013-03-0,2013-03-1,2013-03-2,2013-04-0,2013-04-1,2013-04-2,2013-05-0,2013-05-1,2013-05-2,2013-06-0,2013-06-1,2013-06-2,2013-07-0,2013-07-1,2013-07-2,2013-08-0,2013-08-1,2013-08-2,2013-09-0,2013-09-1,2013-09-2,2013-10-0,2013-10-1,2013-10-2,2013-11-0,2013-11-1,2013-11-2,2013-12-0,2013-12-1,2013-12-2,2014-01-0,2014-01-1,2014-01-2,2014-02-0,2014-02-1,2014-02-2,2014-03-0,2014-03-1,2014-03-2,2014-04-0,2014-04-1,2014-04-2,2014-05-0,2014-05-1,2014-05-2,2014-06-0,2014-06-1,2014-06-2,2014-07-0,2014-07-1,2014-07-2,2014-08-0,2014-08-1,2014-08-2,2014-09-0,2014-09-1,2014-09-2,2014-10-0,2014-10-1,2014-10-2,2014-11-0,2014-11-1,2014-11-2,2014-12-0,2014-12-1,2014-12-2,2015-01-0,2015-01-1,2015-01-2,2015-02-0,2015-02-1,2015-02-2,2015-03-0,2015-03-1,2015-03-2,2015-04-0,2015-04-1,2015-04-2,2015-05-0,2015-05-1,2015-05-2,2015-06-0,2015-06-1,2015-06-2,2015-07-0,2015-07-1,2015-07-2,2015-08-0,2015-08-1,2015-08-2,2015-09-0,2015-09-1,2015-09-2,2015-10-0,2015-10-1,2015-10-2,2015-11-0,2015-11-1,2015-11-2,2015-12-0,2015-12-1,2015-12-2,2016-01-0,2016-01-1,2016-01-2,2016-02-0,2016-02-1,2016-02-2,2016-03-0,2016-03-1,2016-03-2,2016-04-0,2016-04-1,2016-04-2,2016-05-0,2016-05-1,2016-05-2,2016-06-0,2016-06-1,2016-06-2,2016-07-0,2016-07-1,2016-07-2,2016-08-0,2016-08-1,2016-08-2,2016-09-0,2016-09-1,2016-09-2,2016-10-0,2016-10-1,2016-10-2,2016-11-0,2016-11-1,2016-11-2,2016-12-0,2016-12-1,2016-12-2,2017-01-0,2017-01-1,2017-01-2,2017-02-0,2017-02-1,2017-02-2,2017-03-0,2017-03-1,2017-03-2,2017-04-0,2017-04-1,2017-04-2,2017-05-0,2017-05-1,2017-05-2,2017-06-0,2017-06-1,2017-06-2,2017-07-0,2017-07-1,2017-07-2,2017-08-0,2017-08-1,2017-08-2,2017-09-0,2017-09-1,2017-09-2,2017-10-0,2017-10-1,2017-10-2,2017-11-0,2017-11-1,2017-11-2,2017-12-0,2017-12-1,2017-12-2,2018-01-0,2018-01-1,2018-01-2,2018-02-0,2018-02-1,2018-02-2,2018-03-0,2018-03-1,2018-03-2,2018-04-0,2018-04-1,2018-04-2,2018-05-0,2018-05-1,2018-05-2,2018-06-0,2018-06-1,2018-06-2,2018-07-0,2018-07-1,2018-07-2,2018-08-0,2018-08-1,2018-08-2,2018-09-0,2018-09-1,2018-09-2,2018-10-0,2018-10-1,2018-10-2,2018-11-0,2018-11-1,2018-11-2,2018-12-0,2018-12-1,2018-12-2,2019-01-0,2019-01-1,2019-01-2,2019-02-0,2019-02-1,2019-02-2,2019-03-0,2019-03-1,2019-03-2,2019-04-0,2019-04-1,2019-04-2,2019-05-0,2019-05-1,2019-05-2,2019-06-0,2019-06-1,2019-06-2,2019-07-0,2019-07-1,2019-07-2,2019-08-0,2019-08-1,2019-08-2,2019-09-0,2019-09-1,2019-09-2,2019-10-0,2019-10-1,2019-10-2,2019-11-0,2019-11-1,2019-11-2,2019-12-0,2019-12-1,2019-12-2,2020-01-0,2020-01-1,2020-01-2,2020-02-0,2020-02-1,2020-02-2,2020-03-0,2020-03-1,2020-03-2,2020-04-0,2020-04-1,2020-04-2,2020-05-0,2020-05-1,2020-05-2,2020-06-0,2020-06-1,2020-06-2,2020-07-0,2020-07-1,2020-07-2,2020-08-0,2020-08-1,2020-08-2,2020-09-0,2020-09-1,2020-09-2,2020-10-0,2020-10-1,2020-10-2,2020-11-0,2020-11-1,2020-11-2,2020-12-0,2020-12-1,2020-12-2,2021-01-0,2021-01-1,2021-01-2,2021-02-0,2021-02-1,2021-02-2,2021-03-0,2021-03-1,2021-03-2,2021-04-0,2021-04-1,2021-04-2,2021-05-0,2021-05-1,2021-05-2,2021-06-0,2021-06-1,2021-06-2,2021-07-0,2021-07-1,2021-07-2,2021-08-0,2021-08-1,2021-08-2,2021-09-0,2021-09-1,2021-09-2,2021-10-0,2021-10-1,2021-10-2,2021-11-0,2021-11-1,2021-11-2,2021-12-0,2021-12-1,2021-12-2
0,disease,codeine,addiction,alkali,modulus,modeler,spectrum,algebraic,algebra,avail,available,sail,cider,spillin,caper,appalled,seafood,hater,diffusion,coil,imam,disturbing,distraught,distorted,concord,corpus,whistle,firm,scoff,adieu,digestion,floral,general,absolve,naughty,mercy,breaker,icebreaker,breakneck,putt,leaned,puff,fence,stop,lane,vote,totality,totally,blood,pamphlet,donation,extension,folio,workbook,workout,trance,zone,valance,return,back,pony,brow,blather,apostle,apostate,annotate,needtoknow,happynewyear,somethingigetalot,needtoknow,thelittlethings,imtryingtosleep,acclaim,arc,saga,fiendish,performer,marksman,needtoknow,happyplace,areyoukiddingme,needtoknow,areyoukiddingme,whatsthepoint,areyoukiddingme,needtoknow,imtryingtosleep,areyoukiddingme,happynewyear,needtoknow,needtoknow,bestdayever,happynewyear,needtoknow,bestdayever,areyoukiddingme,needtoknow,areyoukiddingme,nohope,needtoknow,happyplace,luckygirl,needtoknow,areyoukiddingme,happyplace,needtoknow,happynewyear,areyoukiddingme,needtoknow,bestdayever,happyplace,needtoknow,happynewyear,areyoukiddingme,needtoknow,stupefy,areyoukiddingme,needtoknow,happynewyear,bestdayever,needtoknow,happyplace,happynewyear,needtoknow,freakingout,whatsthepoint,needtoknow,whatsthepoint,happyvalentinesday,needtoknow,happyplace,freakingout,needtoknow,thankyougod,nohope,needtoknow,happyplace,bestdayever,needtoknow,greatday,happytweet,thankyougod,greatful,thankyoujesus,yaaay,thankyougod,yaaaay,thankyougod,thanksalot,thankyoujesus,thankyougod,thanksalot,thankyoulord,nohope,thankyougod,thanksalot,thankyougod,thanksalot,thankyoulord,yaaay,yaaaay,yesss,yaaaay,yaaay,noworries,gooood,yaaay,loveee,yaaay,yaaaay,thanksalot,yaaay,yaaaay,yesss,xoxo,weeeee,gooood,yaaaay,hubby,loveee,gooood,yaaaay,yaaay,woohoo,loveee,gooood,loveee,eeeek,yaaaay,loveee,yessss,yesss,gooood,awesome,loveee,gooood,xoxo,heheh,xoxo,loveee,gooood,xoxo,yessss,yesss,yaaay,yaaaay,gooood,loveee,weeeee,yessss,yaaay,xoxo,yaaaay,xoxo,loveee,yessss,xoxo,yessss,yaaaay,gooood,yessss,yesss,yessss,xoxo,yesss,yessss,yaaaay,yaaay,yaaay,yaaaay,gooood,yaaaay,yessss,yaaay,yessss,yaaaay,gooood,xoxo,loveee,yessss,yessss,loveee,xoxo,yessss,xoxo,congrats,xoxo,congrats,awesome,xoxo,thankyougod,congrats,xoxo,yessss,yesss,xoxo,yessss,yesss,xoxo,fabulous,yessss,xoxo,yessss,yesss,yessss,awesome,xoxo,xoxo,yessss,yesss,xoxo,yessss,yaaaay,yessss,xoxo,gooood,xoxo,yessss,yesss,xoxo,weeeee,yessss,yessss,yesss,xoxo,xoxo,yessss,yesss,yessss,yesss,weeeee,loveee,weeeee,gooood,yessss,yesss,awesome,xoxo,loveee,awesome,xoxo,yessss,lovely,yessss,xoxo,yesss,xoxo,heheh,yessss,xoxo,yessss,loveee,xoxo,lovely,loveee,xoxo,thankyougod,fabulous,xoxo,yessss,yesss,xoxo,lovely,fabulous,xoxo,loveee,lovely,xoxo,lovely,awesome,happy,xoxo,lovely,xoxo,lovely,heheh,heheh,lovely,gooood,heheh,xoxo,lovely,awesome,xoxo,yessss,xoxo,awesome,lovely,xoxo,fabulous,awesome,awesome,xoxo,fabulous,awesome,heheh,lovely,heheh,lovely,cutie,xoxo,awesome,lovely,xoxo,awesome,lovely,xoxo,awesome,fabulous,xoxo,lovely,awesome,xoxo,belated,awesome,fabulous,xoxo,lovely,heheh,xoxo,fabulous,xoxo,heheh,yayyy,xoxo,heheh,lovely,xoxo,heheh,sweetie,heheh,xoxo,fabulous,heheh,xoxo,fabulous,heheh,xoxo,yayyyy,heheh,xoxo,yayyy,heheh,xoxo,yayyyy,heheh,xoxo,yessss,heheh,xoxo,sweetie,heheh,yayyyy,alreadyyyyy,heheh,xoxo,yayyy,heheh,xoxo,yessss,xoxo,heheh,yaaay,heheh,yaaay,yayyy,heheh,yaaay,yaaaay,heheh,yayyy,yayyyy
1,species,sapiens,genetic,noun,mamma,omgomgomg,lactose,kale,malt,species,genetic,homogeneity,mammal,chromosome,species,malt,amphibian,wolverine,mammal,species,mamma,species,mammal,noun,species,sapiens,mammal,allergic,lactose,allergy,allergic,mammal,lactose,sapiens,species,syphilis,mamma,mammal,allergic,racer,amphetamines,druid,mammal,amphibian,cougar,chromosome,mammal,species,mamma,mammal,species,albino,octopus,amphibian,mammal,mamma,sapiens,amphetamines,wolverine,mammal,coyote,cougar,snort,allergic,albino,xanax,wolverine,albino,mammal,xanax,amphetamines,ibuprofen,peyote,albino,aphrodisiac,ibuprofen,xanax,amphetamines,albino,vamoose,coyote,aphrodisiac,albino,anaphylactic,imtryingtosleep,guinea,peyote,peyote,albino,biopsy,albino,vamoose,peyote,peyote,albino,canine,albino,rhinoceros,vamoose,vamoose,pterodactyl,albino,peyote,albino,hydrocephalus,imtryingtosleep,sleepyhead,wannasleep,vamoose,imtryingtosleep,guinea,peyote,albino,vamoose,vamoose,pterodactyl,scorpion,vamoose,albino,luckygirl,sleepyhead,vamoose,peyote,sleepyhead,vamoose,goober,lady bug,vamoose,luckygirl,wokemeup,sleepyhead,areyoukiddingme,happyvalentinesday,areyoukiddingme,luckygirl,wokemeup,sleepyhead,areyoukiddingme,happyvalentinesday,somethingigetalot,vamoose,areyoukiddingme,crabby,sleepyhead,wannasleep,sleepyhead,luckygirl,areyoukiddingme,jalopy,pedicure,areyoukiddingme,chinchilla,vamoose,areyoukiddingme,vamoose,happyvalentinesday,onedge,ditto,moxie,lady bug,xoxo,thanksalot,loveee,xoxo,yaaay,xoxo,yaaay,nohope,nohope,yaaay,xoxo,nohope,yaaay,lady bug,xoxo,loveee,weeeee,yaaaay,xoxo,yaaay,yaaay,yaaaay,nohope,xoxo,loveee,yaaay,yaaaay,woohoo,heheh,weeeee,yaaaay,yaaay,loveee,yaaay,yaaaay,xoxo,loveee,yessss,xoxo,loveee,weeeee,xoxo,yaaay,loveee,yaaaay,yaaay,xoxo,xoxo,yaaaay,loveee,loveee,weeeee,yaaay,yaaaay,xoxo,yaaay,xoxo,woohoo,yaaaay,weeeee,xoxo,heheh,xoxo,yessss,yesss,yaaay,yaaaay,loveee,yaaay,yaaaay,loveee,xoxo,yessss,woohoo,woohoo,yaaaay,yessss,xoxo,loveee,yessss,yessss,heheh,yesss,yessss,weeeee,yesss,xoxo,yessss,gooood,xoxo,weeeee,yessss,heheh,yessss,yesss,yessss,loveee,hooray,yaaaay,yessss,xoxo,yessss,yesss,hooray,yessss,weeeee,yesss,yessss,boooo,fabulous,yessss,weeeee,adorable,yessss,loveee,cutie,xoxo,loveee,yessss,yessss,loveee,xoxo,xoxo,weeeee,loveee,xoxo,yessss,cutie,loveee,xoxo,yessss,loveee,yaaaay,yaaay,yessss,loveee,heheh,loveee,yaaay,sweetie,loveee,weeeee,yaaay,yaaay,fabulous,yaaaay,loveee,yessss,heheh,loveee,cutie,fabulous,loveee,lovely,fabulous,heheh,adorable,loveee,lovely,heheh,loveee,heheh,lovely,cutie,heheh,yaaay,yaaaay,heheh,fabulous,lovely,heheh,loveee,yaaaay,heheh,loveee,yaaaay,heheh,lovely,fabulous,heheh,lovely,yaaaay,heheh,loveee,lovely,yaaaay,heheh,xoxo,heheh,fabulous,loveee,heheh,awesome,fabulous,heheh,fabulous,yaaaay,heheh,yaaaay,fabulous,heheh,awesome,fabulous,heheh,yaaaay,fabulous,heheh,awesome,yaaaay,heheh,awesome,yaaaay,heheh,lovely,loveee,heheh,loveee,yaaaay,heheh,yaaay,yaaaay,heheh,fabulous,yaaaay,heheh,yaaaay,yaaay,heheh,yaaay,yaaaay,heheh,yaaaay,yaaay,heheh,fabulous,yaaaay,heheh,yaaaay,yaaay,heheh,yaaaay,yaaay,heheh,yaaaay,fabulous,heheh,yaaaay,yaaay,heheh,yaaaay,yaaay,heheh,alreadyyyyy,fabulous,heheh,yaaay,yaaaay,heheh,yaaaay,yaaay,heheh,yaaay,yaaaay,heheh,yaaaay,yaaay,heheh,yaaay,yaaaay,heheh,yaaaay,yaaay
2,deficit,inflation,abolition,expenditure,surplus,deficit,annual,annul,annulus,inflation,expenditure,deficit,deficit,fiscal,taxpayer,surplus,approximately,cumulus,expenditure,income,percentile,expenditure,inflation,deficit,expenditure,income,inflation,expenditure,annual,percent,expenditure,surplus,deficit,expenditure,surplus,inflation,expenditure,percentile,inflation,expenditure,inflation,income,expenditure,inflation,incarceration,expenditure,inflation,consumption,expenditure,usury,consumption,expenditure,deficit,surplus,expenditure,surplus,deficit,inflation,expenditure,deficit,expenditure,wages,inflation,usury,fiat,taxpayer,deflation,inflation,stagnation,expenditure,taxpayer,trillion,inflation,expenditure,debtor,inflation,expenditure,usury,happynewyear,growthefuckup,indebted,foregoing,overthemoon,fulsome,growthefuckup,superannuation,great trust,expenditure,inflation,annulus,happynewyear,bestdayever,happytweet,growthefuckup,happynewyear,extreme anticipation,growthefuckup,superannuation,fulsome,growthefuckup,foregoing,superannuation,growthefuckup,inequitable,indebted,bifurcation,superannuation,overthemoon,flabbergasted,bifurcation,dumfound,needtoknow,happynewyear,legwork,bifurcation,happyplace,dontpanic,happynewyear,happyplace,great trust,needtoknow,great trust,some trust,fulsome,happyplace,extreme anticipation,happynewyear,needtoknow,bestdayever,needtoknow,flabbergasted,happyplace,needtoknow,happyplace,happynewyear,happyplace,needtoknow,think,yousuck,needtoknow,flabbergasted,thankyougod,greatful,thanksalot,nohope,yaaay,spiffy,gooood,yousuck,yaaaay,happytweet,gooood,yesss,goober,nohope,freakingout,eeeek,gooood,woohoo,gooood,eeeek,yessss,yaaaay,yaaay,xoxo,yessss,yesss,gooood,yaaay,yaaaay,weeeee,gooood,woohoo,yessss,loveee,gooood,xoxo,woohoo,yayyy,yaaaay,woohoo,yaaaay,yaaay,gooood,heheh,yayyy,heheh,weeeee,eeeek,weeeee,yesss,eeeek,loveee,yessss,yesss,yessss,yesss,xoxo,weeeee,heheh,yaaaay,yessss,heheh,yesss,woohoo,hooray,heheh,weeeee,yessss,eeeek,yaaay,yaaaay,loveee,yayyy,yessss,yesss,yessss,woohoo,loveee,yessss,yayyy,xoxo,xoxo,yessss,yesss,yessss,yaaaay,yaaay,yessss,yaaay,yesss,yessss,yesss,weeeee,woohoo,yessss,heheh,yessss,heheh,loveee,yessss,loveee,yesss,yessss,heheh,weeeee,xoxo,yessss,heheh,yessss,xoxo,yesss,heheh,yessss,xoxo,weeeee,loveee,yessss,heheh,yaaaay,yessss,yessss,yesss,yaaay,yessss,weeeee,yesss,yessss,yesss,xoxo,yessss,xoxo,loveee,yessss,hubby,loveee,xoxo,yessss,boooo,xoxo,yaaay,yessss,yaaay,yaaaay,yessss,yaaay,yessss,yesss,heheh,yessss,xoxo,loveee,yaaay,weeeee,yessss,lovely,awesome,loveee,xoxo,yaaay,fabulous,weeeee,congrats,yaaay,yaaaay,heheh,yaaaay,lovely,yaaay,heheh,loveee,fabulous,heheh,yaaay,yaaaay,heheh,hubby,xoxo,heheh,lovely,xoxo,heheh,xoxo,lovely,heheh,yaaaay,yaaay,heheh,xoxo,lovely,heheh,lovely,loveee,lovely,loveee,fabulous,lovely,heheh,fabulous,heheh,lovely,fabulous,heheh,lovely,fabulous,xoxo,lovely,fabulous,heheh,fabulous,loveee,fabulous,heheh,awesome,heheh,lovely,fabulous,heheh,yaaaay,fabulous,heheh,fabulous,xoxo,heheh,fabulous,yaaaay,heheh,awesome,lovely,heheh,lovely,fabulous,heheh,awesome,lovely,heheh,fabulous,lovely,heheh,fabulous,lovely,heheh,fabulous,lovely,heheh,yaaay,yaaaay,heheh,fabulous,yaaay,heheh,yaaay,yaaaay,heheh,fabulous,yaaay,heheh,fabulous,yaaaay,heheh,yaaay,yaaaay,heheh,fabulous,xoxo,heheh,fabulous,yaaaay,heheh,fabulous,yaaaay,heheh,fabulous,alreadyyyyy,heheh,fabulous,yaaay,heheh,yaaaay,yaaay,heheh,yaaay,yaaaay,heheh,fabulous,yaaaay,heheh,yaaay,yaaaay,heheh,fabulous,yaaaay
3,elite,unanimity,earthquake,refute,inflammatory,misread,skepticism,gospel,scripture,extremely,handshake,strikingly,evidentiary,paragraph,dismissal,blog,jobinterview,busy,headliner,blog,article,lac,total,soft,certified,rectory,verified,incipient,prosecution,judiciary,apportionment,usury,conglomerate,fraudulent,incipient,incur,political,financial,vital,incipient,fraudulent,defraud,incipient,extrajudicial,judiciary,allocation,bureau,municipality,jurisdiction,judiciary,wiretap,fraudulent,litigation,fraud,offing,haystack,caving,mercenary,insurmountable,tyrant,governmental,regulation,federal,dismantle,usury,mitigation,enact,dismantle,extrajudicial,usury,authorization,judiciary,deck,sideboard,exile,authorization,authorized,surveillance,tomorrow,tuesday,friday,usury,indemnify,espionage,exile,stronghold,summons,reprisal,usury,vassal,exalted,summons,enchantment,tribunal,circumvent,pending,indiscretion,impunity,mitigation,precincts,precinct,amulet,impunity,mitigation,mitigating,amulet,armor,helm,runaround,stupefaction,whatsthepoint,needtoknow,legwork,whatsthepoint,fulsome,accueil,newme,wherewithal,accueil,great trust,needtoknow,foregoing,overthemoon,outlying,runaround,outpouring,some trust,great trust,wherewithal,foregoing,some trust,great trust,forethought,great trust,overthemoon,needtoknow,happyplace,great aunt,interlocutory,needtoknow,justthebeginning,needtoknow,happyplace,great aunt,whatmakesmesmile,great aunt,needtoknow,happyplace,areyoukidding,areyoukiddingme,great aunt,accueil,fulsome,great aunt,happynewyear,greatday,great aunt,ohdear,amuck,great aunt,ohdear,dawdle,yousuck,nothappy,alreadyyyyy,yousuck,yaaay,alreadyyyyy,nothappy,nohope,luckygirl,luckygirl,happydance,nohope,loveee,goober,yousuck,nothappy,gooood,yaaaay,yaaay,yaaaay,alreadyyyyy,gooood,alreadyyyyy,nohope,loveee,eeeek,gooood,yesss,yaaaay,alreadyyyyy,yessss,loveee,yesss,heheh,gooood,yessss,gooood,weeeee,yeahhhh,alreadyyyyy,yessss,yaaaay,gooood,yaaay,yaaaay,loveee,yessss,eeeek,yaaaay,yaaay,gooood,yaaaay,yayyy,yaaay,gooood,yaaaay,yessss,yessss,yesss,yeahhhh,weeeee,yessss,yaaaay,yessss,yesss,yaaaay,yessss,goober,yesss,weeeee,yaaaay,yaaay,heheh,loveee,woohoo,yessss,loveee,heheh,yessss,heheh,yesss,weeeee,yessss,heheh,heheh,yessss,weeeee,weeeee,heheh,yessss,heheh,yessss,yesss,heheh,yessss,weeeee,heheh,yaaaay,yaaay,weeeee,aaaah,boooo,weeeee,yessss,heheh,yessss,boooo,yesss,weeeee,yayyyy,yayyy,weeeee,yessss,heheh,weeeee,boooo,yessss,weeeee,yessss,boooo,yessss,weeeee,heheh,weeeee,boooo,heheh,heheh,weeeee,yessss,weeeee,boooo,arghhhh,weeeee,yessss,gahhh,yeahhhh,boooo,weeeee,weeeee,gahhh,boooo,weeeee,yessss,boooo,weeeee,yessss,boooo,heheh,weeeee,boooo,yessss,heheh,boooo,heheh,boooo,yaaaay,yessss,heheh,boooo,heheh,yessss,boooo,heheh,yaaaay,arghhhh,heheh,yeahhhh,arghhhh,heheh,arghhhh,boooo,heheh,boooo,yaaaay,heheh,yessss,boooo,heheh,yaaaay,boooo,heheh,boooo,arghhhh,yaaaay,heheh,alreadyyyyy,heheh,hubby,boooo,heheh,yaaaay,gahhh,heheh,weeeee,boooo,heheh,boooo,yaaaay,heheh,boooo,gahhh,heheh,yaaaay,boooo,heheh,yaaaay,boooo,heheh,yaaaay,yeahhhh,heheh,yaaaay,boooo,heheh,yaaaay,boooo,heheh,yaaaay,gahhh,heheh,yaaaay,yayyyy,heheh,yaaaay,yaaay,heheh,yaaaay,yaaay,heheh,yaaaay,yaaay,heheh,yaaaay,yayyyy,heheh,yaaaay,gahhh,heheh,yaaaay,yayyyy,heheh,yaaaay,gahhh,heheh,yaaaay,gahhh,heheh,yaaaay,alreadyyyyy,heheh,alreadyyyyy,kidding,heheh,yeahhhh,geez,heheh,yaaaay,boooo,yaaaay,heheh,boooo,yaaaay,heheh,yeahhhh,yaaaay,heheh,boooo,heheh,yaaaay,yayyyy
4,exclusive,guesser,successful,call,added,episode,engaging,hear,hearted,weigh,video,slim,smell,boat,liter,facet,follicular,judgmental,demand,low,temp,quick,church,lurch,tasty,calorie,steak,morphine,morph,smuggle,leave,mew,scape,toe,heel,heels,minimize,mitigate,permanence,karaoke,melee,mage,jungle,stun,phoenix,banshee,melee,armor,melee,jungle,champ,jungle,turret,melee,jungle,stun,melee,jungle,turret,lane,jungle,stun,minion,jungle,wriggle,stun,runes,jungle,lane,jungle,lane,turret,lane,jungle,wriggle,lane,baron,scepter,lane,turret,minion,wriggle,nautilus,kite,snowball,lane,nautilus,nautilus,stun,lane,nautilus,snowball,minion,snowball,kite,jungle,snowball,stun,jungle,nautilus,lane,snowball,wop,cabaret,canto,kite,minion,lane,minion,kite,turret,lane,stun,kite,snowball,thresh,teamjesus,jungle,snowball,nautilus,kite,minion,snowball,minion,kite,snowball,snowball,kite,nautilus,snowball,thresh,fizz,kite,snowball,minion,goodmood,snowball,great aunt,great aunt,needtoknow,somethingigetalot,needtoknow,great aunt,newme,great aunt,somethingigetalot,needtoknow,needtoknow,areyoukiddingme,great aunt,hurryup,noworries,dontunderstand,great aunt,hurryup,whatmakesmesmile,onedge,ditto,mew,hurryup,somethingigetalot,noworries,yousuck,goober,hurryup,yousuck,hurryup,alreadyyyyy,alreadyyyyy,needtoknow,noworries,alreadyyyyy,hurryup,goober,alreadyyyyy,nohope,goober,alreadyyyyy,noworries,nohope,alreadyyyyy,yea,yaaay,noworries,nohope,alreadyyyyy,alreadyyyyy,heheh,eeeek,yeahhh,yaaaay,arghhhh,alreadyyyyy,yaaaay,yeahhh,nohope,alreadyyyyy,yeahhhh,yeahhhh,yeahhh,arghhhh,arghhhh,yeahhhh,yeahhh,alreadyyyyy,yeahhh,yeahhhh,yaaaay,yaaay,yeahhh,yaaaay,yaaay,alreadyyyyy,yaaaay,yayyy,alreadyyyyy,yeahhh,yeahhhh,heheh,yeahhhh,yeahhh,noworries,alreadyyyyy,yeahhhh,arghhhh,yaaaay,yaaay,alreadyyyyy,yeahhhh,yeahhh,gahhh,yeahhhh,yeahhh,heheh,heheh,yeahhhh,yeahhh,yeahhhh,yeahhh,yaaaay,heheh,yeahhh,yaaaay,heheh,arghhhh,yeahhhh,heheh,arghhhh,yeahhhh,heheh,yeahhh,yeahhhh,heheh,arghhhh,yeahhh,arghhhh,yeahhhh,yeahhh,yaaaay,yaaay,alreadyyyyy,arghhhh,yeahhhh,yaaay,arghhhh,heheh,alreadyyyyy,arghhhh,yeahhhh,yeahhh,arghhhh,yeahhhh,yeahhh,arghhhh,yeahhh,yeahhhh,heheh,gahhh,arghhhh,heheh,yaaay,gahhh,heheh,alreadyyyyy,yayyy,alreadyyyyy,heheh,arghhhh,heheh,arghhhh,yeahhhh,heheh,arghhhh,yeahhhh,heheh,arghhhh,yeahhhh,heheh,yeahhhh,yeahhh,yaaay,heheh,yaaaay,heheh,yaaay,arghhhh,heheh,yeahhh,yeahhhh,heheh,yeahhhh,arghhhh,heheh,arghhhh,yaaay,heheh,arghhhh,yeahhhh,heheh,arghhhh,yeahhhh,heheh,alreadyyyyy,yaaay,heheh,yaaay,alreadyyyyy,heheh,arghhhh,yeahhhh,heheh,arghhhh,alreadyyyyy,heheh,arghhhh,alreadyyyyy,heheh,arghhhh,alreadyyyyy,heheh,alreadyyyyy,yaaay,heheh,arghhhh,gahhh,heheh,yaaaay,alreadyyyyy,heheh,arghhhh,alreadyyyyy,heheh,yaaaay,arghhhh,heheh,yaaay,yaaaay,heheh,arghhhh,eeeek,heheh,alreadyyyyy,yaaay,heheh,alreadyyyyy,yaaaay,heheh,alreadyyyyy,yaaaay,heheh,alreadyyyyy,yaaaay,heheh,alreadyyyyy,yaaay,heheh,alreadyyyyy,yaaaay,heheh,alreadyyyyy,guess,heheh,alreadyyyyy,yaaay,heheh,yaaay,yaaaay,heheh,yaaay,yaaaay,heheh,yaaay,yaaaay,heheh,alreadyyyyy,arghhhh,heheh,arghhhh,alreadyyyyy,heheh,alreadyyyyy,yaaay,heheh,alreadyyyyy,gahhh,heheh,gahhh,alreadyyyyy,heheh,alreadyyyyy,arghhhh,heheh,alreadyyyyy,noworries,heheh,alreadyyyyy,noworries,heheh,alreadyyyyy,yaaaay,heheh,yaaay,yaaaay,heheh,yaaay,yaaaay,heheh,yaaay,yaaaay,heheh,alreadyyyyy,yaaay
